date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-01-13,83.1619,83.3201,81.7968,82.0299,12112226,12112226,-1.6398,-1.96,82.2084,"Jan 13, 14",0
2014-01-14,82.238,82.6292,82.1131,82.5043,9269763,9269763,0.474448,0.578,82.4024,"Jan 14, 14",0.005783257080649895
2014-01-15,82.5376,82.6958,82.0965,82.2213,9427730,9427730,-0.283003,-0.343,82.3701,"Jan 15, 14",0.0023332955422352285
2014-01-16,82.2297,82.4377,81.7802,82.3545,9421731,9421731,0.133178,0.162,82.1491,"Jan 16, 14",0.003957093693884837
2014-01-17,82.5543,83.5198,82.1298,82.5376,15998124,15998124,0.18312,0.222,73.3936,"Jan 17, 14",0.0061892066185622535
2014-01-21,82.0465,82.3092,81.6054,81.9883,13848381,13848381,-0.549361,-0.666,81.9391,"Jan 21, 14",-0.0005071321554701704
2014-01-22,82.3046,82.3628,81.4389,81.4722,11648146,11648146,-0.51607,-0.629,81.6753,"Jan 22, 14",-0.006798740459271522
2014-01-23,80.9478,81.0643,79.9157,80.7147,15397746,15397746,-0.757455,-0.93,79.7759,"Jan 23, 14",-0.016033178146017544
2014-01-24,80.0572,80.1154,78.9252,78.9501,14669972,14669972,-1.7646,-2.186,69.1888,"Jan 24, 14",-0.03754484645233008
2014-01-27,79.1374,79.5578,78.8669,79.0084,12477405,12477405,0.058265,0.074,79.2115,"Jan 27, 14",-0.03683412999406318
2014-01-28,79.3663,79.8408,78.8835,79.616,10774257,10774257,0.607629,0.769,79.4503,"Jan 28, 14",-0.029427074761763677
2014-01-29,79.0167,80.0738,78.7837,79.1665,13194427,13194427,-0.449478,-0.565,73.7853,"Jan 29, 14",-0.03490678398974031
2014-01-30,78.2426,79.0334,77.4602,78.2343,14632354,14632354,-0.932254,-1.178,78.1785,"Jan 30, 14",-0.046270932915924476
2014-01-31,77.2854,77.6433,76.3282,76.7111,17372323,17372323,-1.5232,-1.947,77.0808,"Jan 31, 14",-0.0648397718392927
2014-02-03,76.5071,76.8359,74.6135,74.9548,20381403,20381403,-1.7563,-2.289,74.8638,"Feb 3, 14",-0.0862502575280476
2014-02-04,75.2211,75.4459,74.4054,74.9298,17703260,17703260,-0.024969,-0.033,74.3666,"Feb 4, 14",-0.08655502444840232
2014-02-05,75.167,75.4209,74.3971,74.5635,16395819,16395819,-0.366243,-0.489,74.5362,"Feb 5, 14",-0.09102046936543862
2014-02-06,75.033,75.5946,74.815,75.2761,13650204,13650204,0.712539,0.956,75.2745,"Feb 6, 14",-0.08233339306764971
2014-02-07,75.5443,75.9718,75.2342,75.9299,12632454,12632454,0.653844,0.869,74.87,"Feb 7, 14",-0.07436312856653482
2014-02-10,75.821,75.888,74.9073,75.0414,12241464,12241464,-0.88856,-1.17,75.1845,"Feb 10, 14",-0.08519454491593921
2014-02-11,75.0749,76.282,74.9408,76.1479,13426576,13426576,1.1065,1.475,75.8569,"Feb 11, 14",-0.07170556102104221
2014-02-12,76.2904,77.0029,75.9802,76.3491,10753088,10753088,0.201182,0.264,76.4791,"Feb 12, 14",-0.06925279684602799
2014-02-13,75.9383,76.8269,75.779,76.6425,9776453,9776453,0.293393,0.384,76.4975,"Feb 13, 14",-0.0656760522687459
2014-02-14,76.9359,79.1573,76.785,78.889,18335517,18335517,2.2465,2.931,78.4189,"Feb 14, 14",-0.03828969680567698
2014-02-18,78.8555,79.4003,78.2603,78.8555,12981890,12981890,-0.033527,-0.042,78.8089,"Feb 18, 14",-0.03869808447895209
2014-02-19,78.6291,79.8782,78.6291,78.7549,12228854,12228854,-0.100592,-0.128,79.2676,"Feb 19, 14",-0.0399244665664592
2014-02-20,78.6711,80.2805,78.5872,79.9452,14425193,14425193,1.1903,1.511,79.8604,"Feb 20, 14",-0.025413903954533627
2014-02-21,80.0374,80.1213,79.5848,79.6602,11286050,11286050,-0.28501,-0.357,79.882,"Feb 21, 14",-0.02888824684657661
2014-02-24,80.1464,81.5212,79.9787,80.8422,16034244,16034244,1.182,1.484,81.074,"Feb 24, 14",-0.014478866852208675
2014-02-25,80.926,81.2864,80.4398,80.7332,10664330,10664330,-0.108974,-0.135,80.8931,"Feb 25, 14",-0.015807650624955063
2014-02-26,80.9427,81.1942,80.0793,80.2973,9088471,9088471,-0.435895,-0.54,80.5206,"Feb 26, 14",-0.021121566648258632
